tick,price
0,1708.355
1,1692.8780000000002
2,1709.252
3,1688.7489999999998
4,1694.6529999999998
5,1710.4759999999994
6,1681.1389999999997
7,1707.4599999999996
8,1723.53
9,1696.1889999999999
10,1730.1830000000002
11,1668.812
12,1644.0410000000004
13,1632.055
14,1665.328
15,1626.889
16,1648.188
17,1642.56
18,1634.1889999999999
19,1672.9929999999997
20,1645.859
21,1642.366
22,1692.8830000000003
23,1641.343
24,1662.5310000000002
25,1649.315
26,1655.127
27,1646.0500000000004
28,1651.4989999999998
29,1648.8470000000002
30,1663.248
31,1652.122
32,1658.2540000000004
33,1624.337
34,1666.4920000000002
35,1640.9409999999996
36,1652.8659999999995
37,1648.7460000000003
38,1634.8049999999998
39,1664.3700000000001
40,1653.514
41,1641.2370000000003
42,1647.852
43,1648.42
44,1644.19
45,1655.518
46,1659.196
47,1661.652
48,1645.7210000000002
49,1658.5279999999998
50,1640.1130000000005
51,1647.4120000000003
52,1663.8940000000002
53,1652.3280000000002
54,1642.779
55,1675.6689999999999
56,1658.1709999999998
57,1659.059
58,1655.318
59,1645.8380000000002
60,1658.7740000000001
61,1645.1680000000001
62,1653.759
63,1659.0559999999998
64,1636.809
65,1661.9209999999998
66,1652.703
67,1653.096
68,1655.804
69,1637.2440000000001
70,1646.7940000000003
71,1639.9350000000002
72,1653.4270000000001
73,1666.5629999999996
74,1644.5549999999998
75,1662.4359999999997
76,1665.977
77,1647.3829999999998
78,1654.6640000000002
79,1675.111
80,1665.8139999999999
81,1670.8940000000002
82,1655.0549999999998
83,1672.8449999999998
84,1648.5259999999998
85,1660.137
86,1676.634
87,1658.8659999999995
88,1642.8149999999998
89,1661.7220000000002
90,1670.6619999999998
91,1645.5639999999999
92,1648.8929999999996
93,1680.408
94,1664.0079999999998
95,1660.291
96,1676.9509999999998
97,1647.9239999999998
98,1644.2400000000002
99,1669.502
100,1657.2450000000001
101,1656.645
102,1670.159
103,1658.861
104,1669.313
105,1674.248
106,1650.3349999999998
107,1607.6879999999999
108,1668.4109999999996
109,1678.2989999999998
110,1664.336
111,1689.3949999999998
112,1653.3379999999997
113,1677.0669999999998
114,1651.984
115,1667.31
116,1677.199
117,1631.3029999999997
118,1652.524
119,1669.6940000000002
120,1668.2040000000002
121,1670.092
122,1655.194
123,1683.7939999999999
124,1655.8
125,1660.3990000000001
126,1684.8749999999995
127,1652.149
128,1654.2779999999998
129,1690.2519999999997
130,1658.336
131,1689.22
132,1660.863
133,1652.479
134,1640.0040000000001
135,1687.2369999999999
136,1667.6919999999998
137,1654.7150000000001
138,1650.3400000000001
139,1676.9599999999998
140,1635.855
141,1667.0880000000002
142,1662.9279999999999
143,1658.0989999999997
144,1646.6780000000003
145,1665.0810000000001
146,1664.343
147,1675.523
148,1645.6
149,1655.3359999999998
150,1682.7620000000002
151,1668.52
152,1646.8410000000003
153,1655.2100000000003
154,1647.5169999999998
155,1643.5810000000001
156,1665.0009999999997
157,1684.9539999999997
158,1624.2289999999998
159,1657.741
160,1682.859
161,1663.4209999999998
162,1640.1329999999998
163,1669.4560000000001
164,1648.1789999999996
165,1676.591
166,1683.7
167,1664.971
168,1661.6670000000001
169,1673.0099999999998
170,1649.5479999999995
171,1673.286
172,1650.5670000000002
173,1653.3149999999998
174,1663.7219999999998
175,1634.274
176,1634.044
177,1700.0020000000004
178,1649.3589999999997
179,1681.943
180,1675.0080000000003
181,1678.518
182,1665.273
183,1646.7040000000002
184,1687.386
185,1665.9519999999998
186,1697.173
187,1643.473
188,1662.2329999999997
189,1663.0100000000002
190,1655.3459999999995
191,1681.4600000000003
192,1641.7189999999998
193,1651.774
194,1654.137
195,1657.675
196,1688.28
197,1670.1290000000001
198,1662.566
199,1701.4039999999998
200,1656.271
201,1648.1419999999998
202,1661.2689999999998
203,1669.9469999999997
204,1659.1029999999998
205,1647.7930000000001
206,1654.993
207,1640.6769999999997
208,1668.659
209,1655.9569999999999
210,1653.6609999999996
211,1662.5279999999998
212,1708.1399999999999
213,1674.216
214,1620.659
215,1661.895
216,1670.935
217,1644.1919999999998
218,1645.795
219,1654.5260000000003
220,1675.507
221,1659.0869999999995
222,1660.923
223,1643.7400000000002
224,1642.1119999999999
225,1658.2480000000003
226,1653.6820000000002
227,1664.6950000000002
228,1674.0370000000003
229,1648.8669999999997
230,1665.3500000000004
231,1632.249
232,1646.1470000000002
233,1656.9659999999997
234,1674.9009999999998
235,1661.5070000000003
236,1683.756
237,1649.4940000000001
238,1678.5279999999998
239,1673.693
240,1656.7900000000002
241,1644.175
242,1638.4309999999998
243,1673.2810000000002
244,1643.6899999999998
245,1644.986
246,1657.0829999999999
247,1648.926
248,1647.4239999999998
249,1683.6690000000003
250,1660.672
251,1679.297
252,1644.694
253,1654.0930000000003
254,1646.0020000000004
255,1635.8300000000002
256,1660.614
257,1671.7279999999998
258,1637.8220000000001
259,1671.659
260,1666.9489999999998
261,1657.696
262,1678.5880000000002
263,1652.9530000000002
264,1641.509
265,1680.5430000000001
266,1670.507
267,1661.5669999999998
268,1650.968
269,1647.791
270,1661.8300000000004
271,1667.846
272,1664.6909999999996
273,1660.0020000000004
274,1660.155
275,1650.7490000000003
276,1660.9630000000002
277,1654.884
278,1675.9510000000002
279,1686.443
280,1657.532
281,1666.3970000000002
282,1657.5610000000001
283,1664.9399999999998
284,1687.498
285,1662.6779999999999
286,1659.4439999999995
287,1623.342
288,1647.0730000000003
289,1659.893
290,1676.673
291,1667.217
292,1617.0
293,1641.057
294,1671.3089999999997
295,1642.4980000000003
296,1648.783
297,1642.298
298,1659.3960000000002
299,1659.8490000000002
300,1664.3939999999998
301,1640.98
302,1630.4879999999998
303,1679.0749999999996
304,1665.0929999999996
305,1673.4629999999997
306,1676.381
307,1649.675
308,1643.9189999999999
309,1642.2830000000001
310,1646.218
311,1664.0880000000002
312,1662.261
313,1647.7079999999999
314,1650.3080000000002
315,1680.973
316,1658.1879999999996
317,1650.682
318,1675.4170000000001
319,1675.9810000000002
320,1653.709
321,1661.4990000000003
322,1664.836
323,1672.771
324,1666.9350000000002
325,1649.132
326,1643.1949999999997
327,1644.2920000000001
328,1670.8229999999999
329,1668.4099999999999
330,1643.262
331,1678.4069999999997
332,1675.841
333,1639.5189999999998
334,1676.659
335,1684.3110000000001
336,1644.887
337,1658.9289999999996
338,1699.137
339,1619.4589999999998
340,1675.4569999999999
341,1680.966
342,1669.375
343,1677.765
344,1653.614
345,1641.2329999999997
346,1684.77
347,1639.024
348,1681.3649999999998
349,1648.333
350,1669.545
351,1663.559
352,1670.051
353,1654.1649999999997
354,1682.5810000000001
355,1656.743
356,1658.0049999999999
357,1643.7459999999999
358,1637.146
359,1653.8560000000002
360,1640.8649999999998
361,1639.655
362,1644.047
363,1656.5520000000004
364,1654.2150000000001
365,1661.7030000000002
366,1647.0739999999998
367,1645.123
368,1663.188
369,1652.643
370,1646.5189999999998
371,1683.355
372,1659.773
373,1651.95
374,1678.193
375,1662.932
376,1688.368
377,1651.845
378,1652.2649999999999
379,1655.172
380,1640.409
381,1626.302
382,1679.5609999999997
383,1641.8940000000002
384,1638.131
385,1638.079
386,1663.221
387,1628.002
388,1640.2329999999997
389,1627.7469999999998
390,1645.6320000000003
391,1671.0849999999998
392,1661.166
393,1642.5440000000003
394,1655.4210000000003
395,1632.4579999999999
396,1669.2009999999998
397,1666.2009999999998
398,1644.792
399,1669.9040000000005
400,1683.191
401,1678.1739999999998
402,1675.5400000000002
403,1651.884
404,1646.291
405,1648.833
406,1650.83
407,1642.6150000000002
408,1649.0420000000001
409,1659.2949999999996
410,1665.3169999999998
411,1664.134
412,1689.114
413,1665.7879999999998
414,1650.8139999999999
415,1644.4669999999999
416,1622.8670000000002
417,1662.0100000000002
418,1654.2689999999998
419,1629.163
420,1652.9059999999997
421,1654.5990000000002
422,1685.884
423,1644.5459999999998
424,1649.348
425,1658.493
426,1664.018
427,1668.834
428,1661.2810000000002
429,1664.0189999999998
430,1669.3960000000002
431,1668.1029999999998
432,1670.5839999999996
433,1672.645
434,1662.5400000000002
435,1663.4420000000002
436,1649.9360000000001
437,1681.211
438,1667.935
439,1654.846
440,1649.1009999999999
441,1631.238
442,1633.9139999999998
443,1638.824
444,1640.4470000000001
445,1636.217
446,1630.633
447,1637.0450000000003
448,1644.1860000000001
449,1646.632
450,1658.1029999999998
451,1648.4299999999998
452,1648.116
453,1658.176
454,1668.9579999999999
455,1670.321
456,1661.6329999999998
457,1673.1590000000003
458,1660.131
459,1663.77
460,1664.42
461,1652.923
462,1653.2389999999996
463,1651.6889999999999
464,1630.569
465,1634.3809999999999
466,1639.4489999999998
467,1649.85
468,1643.306
469,1624.077
470,1610.105
471,1620.241
472,1635.958
473,1628.1889999999999
474,1661.7700000000004
475,1651.5900000000001
476,1666.109
477,1674.1469999999997
478,1666.2129999999997
479,1669.736
480,1663.1370000000002
481,1661.455
482,1654.034
483,1657.85
484,1663.9879999999998
